episode_number,pitch_number,brand_name,idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation
1,1,BluePine Industries,Frozen Momos,1,50,5,1000,75,16,468.75
1,2,Booz scooters,Renting e-bike for mobility in private spaces,1,40,15,266.67,40,50,80
1,3,Heart up my Sleeves,Detachable Sleeves,1,25,10,250,25,30,83.33
2,4,Tagz Foods,Healthy Potato Chips,1,70,1,7000,70,2.75,2545.45
2,5,Head and Heart,Brain Development Course,0,50,5,1000,0,0,0
2,6,Agro tourism,Tourism,0,50,5,1000,0,0,0
3,7,Qzense Labs,Food Freshness Detector,0,100,0.25,40000,0,0,0
3,8,Peeschute,Disposable Urine Bag,1,75,4,1875,75,6,1250
3,9,NOCD,Energy Drink,1,50,2,2500,20,15,133.33
4,10,Cosiq,Intelligent Skincare,1,50,7.5,666.67,50,25,200
4,11,JhaJi Achaar,Pickle,0,50,10,500,0,0,0
4,12,Bummer,Underwear,1,75,4,1875,75,7.5,1000
5,13,Revamp Moto,E-Bike,1,100,1,10000,100,1.5,6666.67
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,50,5,1000,0,0,0
5,15,Shrawani Engineers,Belly Button Shaper,0,10,20,50,0,0,0
6,16,Skippi Pops,Ice-Pops,1,45,5,900,100,15,666.67
6,17,Menstrupedia,Menstrual Awareness Comic,1,50,10,500,50,20,250
6,18,Hecolll,Pollution Resistant Fabric,0,100,1,10000,0,0,0
7,19,Raising Superstars,Child Development App,0,100,2,5000,100,4,2500
7,20,Torch-it,Gadgets for visually impaired people,1,75,1,7500,0,0,0
7,21,La Kheer Deli,Kheer in variety of flavors,0,50,7.5,666.67,0,0,0
8,22,Beyond Snack,Kerala Banana Chips,1,50,2.5,2000,50,2.5,2000
8,23,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,1,56,7.5,746.67,56,33.3,168.17
8,24,Motion Breeze,Smart Electric Motorcycle,1,30,3,1000,30,6,500
9,25,Altor,Smart Helmets,1,50,5,1000,50,7,714.29
9,26,Ariro,Wooden Toys,1,50,2.5,2000,50,10,500
9,27,Kabira Handmade,Healthy Oils,0,100,5,2000,0,0,0
10,28,Nuutjob,Male Intimate Hygiene,1,25,5,500,25,20,125
10,29,Meatyour,Eggs,1,30,5,600,30,20,150
10,30,EventBeep,Student Community App,1,30,2,1500,30,3,1000
11,31,Gopal's 56,Fiber Ice Cream,0,30000,25,120000,0,0,0
11,32,ARRCOAT Surface Textures,Wall Building,1,50,5,1000,50,15,333.33
11,33,Farda,Customised Streetwear,1,30,10,300,30,20,150
12,34,Auli Lifestyle,Ayurvedic Products,1,75,4,1875,75,15,500
12,35,SweeDesi,Indian Sweets,0,40,3,1333.33,0,0,0
12,36,LOKA,Metaverse App,1,40,5,800,40,24,166.67
13,37,Annie,Braille Literary Device,1,30,5,600,105,3,3500
13,38,Caragreen,Eco-Friendly boxes,1,50,10,500,50,20,250
13,39,The Yarn Bazaar,Yarn-Trading App,1,50,2,2500,100,10,1000
14,40,The Renal Project,Home Dialysis Treatment,1,100,3,3333.33,100,6,1666.67
14,41,Morikko Pure Foods,Healthy Food Snacks,0,100,3,3333.33,0,0,0
14,42,Good Good Piggy Bank,Digital Piggy Bank,0,45,5,900,0,0,0
15,43,Hammer Lifestyle,Smart Audio Products,1,30,3,1000,100,40,250
15,44,PNT,Robotics and Automation Solutions,1,50,4,1250,25,25,100
15,45,Cocofit,Coconut based beverage franchise,1,5,5,100,5.00E-05,5,0
16,46,Bamboo India,Bamboo Products,1,80,4,2000,50,3.5,1428.57
16,47,Flying Furr,Dog Hygiene,0,75,7,1071.43,0,0,0
16,48,Beyond Water,Liquid Water Enhancer,1,75,4,1875,75,15,500
16,49,Let's Try,Healthy Snacks,1,45,2,2250,45,12,375
17,50,Find Your Kicks India,Sneaker Resale,1,50,10,500,50,25,200
17,51,Aas Vidyalaya,EdTech App,1,150,3,5000,150,15,1000
17,52,Outbox,Premium Surprise-Planning,0,50,5,1000,0,0,0
17,53,RoadBounce,Pothole Detection Software and Data,1,80,10,800,80,20,400
18,54,Mommy's Kitchen,Thin Crust Pizza,0,90,3,3000,0,0,0
18,55,India Hemp and Co,Hemp Food Products,0,50,4,1250,0,0,0
18,56,Otua,Electric Auto Vehicle,1,100,1,10000,1,1,100
18,57,Anthyesti,Funeral Service,0,50,2.5,2000,0,0,0
19,58,Ethik,Leather-free Shoes,0,15,5,300,0,0,0
19,59,WeSTOCK,Livestock health monitoring AI,1,50,5,1000,60,10,600
19,60,KetoIndia,Customised Keto Diets for various medical issues,0,125,1.25,10000,0,0,0
19,61,Magic lock,LPG Cylinder lock,0,120,8,1500,0,0,0
20,62,The State Plate,Delicacies,1,65,2,3250,40,3,1333.33
20,63,Bakarmax,Comics & Animation,0,35,5,700,0,0,0
20,64,IN A CAN,Can Cocktails,1,50,2,2500,100,10,1000
21,65,Get a Whey,Sugar-Free Icecream,1,100,8,1250,100,15,666.67
21,66,Sid07 Designs,Inventions,1,47,10,470,25,75,33.33
21,67,The Quirky Nari,Customised Apparels,1,35,5,700,35,24,145.83
22,68,Hair Originals,Natural Hair Extensions,1,60,2,3000,60,4,1500
22,69,Poo de Cologne,Toilet Spray with Essential Oils,0,75,5,1500,0,0,0
22,70,Moonshine Meads,Meads,0,80,5,1600,0,0,0
22,71,Falhari,Fresh Fruits,0,50,2,2500,0,0,0
23,72,Namhya Foods,Ayurvedic Enriched Food,1,100,5,2000,50,10,500
23,73,Urban Monkey,Streetwear,0,100,1,10000,0,0,0
23,74,Guardian Gears,Motorcycle Luggage,0,30,5,600,0,0,0
23,75,Modern Myth,Bags,0,75,5,1500,0,0,0
24,76,The Sass Bar,Gifts,1,40,8,500,50,35,142.86
24,77,KG Agrotech,Agricultural Innovations,1,30,10,300,10,40,25
24,78,Nuskha Kitchen,Homemade Foods,0,20,10,200,0,0,0
25,79,PawsIndia,Dog Products,1,50,4,1250,50,15,333.33
25,80,Sunfox Technologies,Portable ECG Device,1,100,2,5000,100,6,1666.67
25,81,Alpino,Roasted Peanut Products,0,150,2,7500,0,0,0
26,82,Isak Fragrances,Perfumes,1,50,8,625,50,50,100
26,83,Julaa Automation,Automatic Cradle,0,50,10,500,0,0,0
26,84,Rare Planet,Handicrafts,1,65,1,6500,65,3,2166.67
27,85,Theka Coffee,Coffee Products,0,50,10,500,0,0,0
27,86,Watt Technovations,Ventilated PPE Kits,1,0.00101,10,0.01,0.00101,4,0.03
27,87,Aliste Technologies,Automation Solutions,0,60,5,1200,0,0,0
27,88,Insurance Samadhan,Insurance Solutions,1,100,1,10000,100,4,2500
28,89,Humpy A2,Organic Milk Products,1,75,4,1875,100,15,666.67
28,90,Kunafa World,Kunafa,0,90,5,1800,0,0,0
28,91,Gold Safe Solutions Ind.,Anti-Suicidal Fan Rod,1,50,5,1000,50,30,166.67
